file_key,placeholder_name,placeholder_labels,sink_line,sink_code,vuln_type,v1,v2,v3,consensus_v4,consensus_method
ATheorell/AutoGPTArenaHack/autogpts~gpt-engineer~gpt_engineer~core~steps.py,"dbs.input[""prompt""]","Content Expansion, Keyword Echo",204,p = subprocess.Popen(  # attempt to run the entrypoint,command-injection,yes,yes,yes,yes,unanimous
ATheorell/AutoGPTArenaHack/autogpts~gpt-engineer~gpt_engineer~core~steps.py,"dbs.input[""prompt""]","Content Expansion, Keyword Echo",471,p = subprocess.Popen(,command-injection,yes,yes,yes,yes,unanimous
ATheorell/AutoGPTArenaHack/autogpts~gpt-engineer~gpt_engineer~core~steps.py,dbs.logs[clarify.__name__],"Content Expansion, Keyword Echo",204,p = subprocess.Popen(  # attempt to run the entrypoint,command-injection,yes,yes,yes,yes,unanimous
ATheorell/AutoGPTArenaHack/autogpts~gpt-engineer~gpt_engineer~core~steps.py,dbs.logs[clarify.__name__],"Content Expansion, Keyword Echo",471,p = subprocess.Popen(,command-injection,yes,yes,yes,yes,unanimous
ATheorell/AutoGPTArenaHack/autogpts~gpt-engineer~gpt_engineer~core~steps.py,"dbs.preprompts[""generate""].replace(""FILE_FORMAT"", dbs.preprompts[""file_format""])","Code Snippet, Content Expansion, Non-JSON Template",204,p = subprocess.Popen(  # attempt to run the entrypoint,command-injection,yes,no,yes,yes,majority
ATheorell/AutoGPTArenaHack/autogpts~gpt-engineer~gpt_engineer~core~steps.py,"dbs.preprompts[""generate""].replace(""FILE_FORMAT"", dbs.preprompts[""file_format""])","Code Snippet, Content Expansion, Non-JSON Template",471,p = subprocess.Popen(,command-injection,yes,no,yes,yes,majority
ATheorell/AutoGPTArenaHack/autogpts~gpt-engineer~gpt_engineer~core~steps.py,"format_file_to_input(file_name, file_str)","Content Expansion, Template Slotting",204,p = subprocess.Popen(  # attempt to run the entrypoint,command-injection,yes,yes,yes,yes,unanimous
ATheorell/AutoGPTArenaHack/autogpts~gpt-engineer~gpt_engineer~core~steps.py,"format_file_to_input(file_name, file_str)","Content Expansion, Template Slotting",471,p = subprocess.Popen(,command-injection,yes,yes,yes,yes,unanimous
ATheorell/AutoGPTArenaHack/autogpts~gpt-engineer~gpt_engineer~core~steps.py,setup_sys_prompt(dbs),"Code Snippet, Content Expansion, Non-JSON Template",204,p = subprocess.Popen(  # attempt to run the entrypoint,command-injection,yes,yes,yes,yes,unanimous
ATheorell/AutoGPTArenaHack/autogpts~gpt-engineer~gpt_engineer~core~steps.py,setup_sys_prompt(dbs),"Code Snippet, Content Expansion, Non-JSON Template",471,p = subprocess.Popen(,command-injection,yes,yes,yes,yes,unanimous
ATheorell/AutoGPTArenaHack/autogpts~gpt-engineer~gpt_engineer~core~steps.py,setup_sys_prompt_existing_code(dbs),"Content Expansion, Non-JSON Template",204,p = subprocess.Popen(  # attempt to run the entrypoint,command-injection,yes,yes,yes,yes,unanimous
ATheorell/AutoGPTArenaHack/autogpts~gpt-engineer~gpt_engineer~core~steps.py,setup_sys_prompt_existing_code(dbs),"Content Expansion, Non-JSON Template",471,p = subprocess.Popen(,command-injection,yes,yes,yes,yes,unanimous
Aurametrix/Alg/ML~oipenai.py,database.run(generated_sql),Computed Number,15,resp = db_chain.run('what is my last po value for testaccount'),sql-injection,yes,no,no,no,majority
Aurametrix/Alg/ML~oipenai.py,generated_sql,Keyword Echo,15,resp = db_chain.run('what is my last po value for testaccount'),sql-injection,yes,no,no,no,majority
BrettlyCD/text-to-sql/src~app~sql_functions.py,error_message,"Content Expansion, Keyword Echo",124,query_result = database.run_no_throw(sql_query),sql-injection,yes,yes,yes,yes,unanimous
BrettlyCD/text-to-sql/src~app~sql_functions.py,question,"Content Expansion, Ignored, Keyword Echo",124,query_result = database.run_no_throw(sql_query),sql-injection,yes,yes,yes,yes,unanimous
BrettlyCD/text-to-sql/src~app~sql_functions.py,sql_dialect,Code Snippet,124,query_result = database.run_no_throw(sql_query),sql-injection,yes,no,no,no,majority
BrettlyCD/text-to-sql/src~app~sql_functions.py,sql_query,"Code Snippet, Paraphrase Rewrite",124,query_result = database.run_no_throw(sql_query),sql-injection,yes,yes,yes,yes,unanimous
BrettlyCD/text-to-sql/src~app~sql_functions.py,table_info,Ignored,124,query_result = database.run_no_throw(sql_query),sql-injection,yes,yes,yes,yes,unanimous
Dataherald/dataherald/dataherald~sql_generator~dataherald_sqlagent.py,AGENT_PREFIX,Content Expansion,300,search_results = self.db.engine.execute(search_query).fetchall(),sql-injection,yes,no,yes,yes,majority
Dataherald/dataherald/dataherald~sql_generator~dataherald_sqlagent.py,AGENT_PREFIX,Content Expansion,307,results = self.db.engine.execute(distinct_query).fetchall(),sql-injection,yes,no,yes,yes,majority
Dataherald/dataherald/dataherald~sql_generator~dataherald_sqlagent.py,FORMAT_INSTRUCTIONS,Non-JSON Template,300,search_results = self.db.engine.execute(search_query).fetchall(),sql-injection,yes,no,no,no,majority
Dataherald/dataherald/dataherald~sql_generator~dataherald_sqlagent.py,FORMAT_INSTRUCTIONS,Non-JSON Template,307,results = self.db.engine.execute(distinct_query).fetchall(),sql-injection,yes,no,no,no,majority
Dataherald/dataherald/dataherald~sql_generator~dataherald_sqlagent.py,PLAN_WITH_FEWSHOT_EXAMPLES_AND_INSTRUCTIONS,Non-JSON Template,300,search_results = self.db.engine.execute(search_query).fetchall(),sql-injection,yes,no,yes,yes,majority
Dataherald/dataherald/dataherald~sql_generator~dataherald_sqlagent.py,PLAN_WITH_FEWSHOT_EXAMPLES_AND_INSTRUCTIONS,Non-JSON Template,307,results = self.db.engine.execute(distinct_query).fetchall(),sql-injection,yes,no,yes,yes,majority
Dataherald/dataherald/dataherald~sql_generator~dataherald_sqlagent.py,SUFFIX_WITH_FEW_SHOT_SAMPLES,Template Slotting,300,search_results = self.db.engine.execute(search_query).fetchall(),sql-injection,yes,no,yes,yes,majority
Dataherald/dataherald/dataherald~sql_generator~dataherald_sqlagent.py,SUFFIX_WITH_FEW_SHOT_SAMPLES,Template Slotting,307,results = self.db.engine.execute(distinct_query).fetchall(),sql-injection,yes,no,yes,yes,majority
Dataherald/dataherald/dataherald~sql_generator~dataherald_sqlagent.py,agent_scratchpad,Ignored,300,search_results = self.db.engine.execute(search_query).fetchall(),sql-injection,yes,yes,yes,yes,unanimous
Dataherald/dataherald/dataherald~sql_generator~dataherald_sqlagent.py,agent_scratchpad,Ignored,307,results = self.db.engine.execute(distinct_query).fetchall(),sql-injection,yes,yes,yes,yes,unanimous
Dataherald/dataherald/dataherald~sql_generator~dataherald_sqlagent.py,max_examples,Template Slotting,300,search_results = self.db.engine.execute(search_query).fetchall(),sql-injection,yes,no,no,no,majority
Dataherald/dataherald/dataherald~sql_generator~dataherald_sqlagent.py,max_examples,Template Slotting,307,results = self.db.engine.execute(distinct_query).fetchall(),sql-injection,yes,no,no,no,majority
Dataherald/dataherald/dataherald~sql_generator~dataherald_sqlagent.py,toolkit.dialect,Keyword Echo,300,search_results = self.db.engine.execute(search_query).fetchall(),sql-injection,yes,no,no,no,majority
Dataherald/dataherald/dataherald~sql_generator~dataherald_sqlagent.py,toolkit.dialect,Keyword Echo,307,results = self.db.engine.execute(distinct_query).fetchall(),sql-injection,yes,no,no,no,majority
Dataherald/dataherald/dataherald~sql_generator~dataherald_sqlagent.py,user_question.question,Template Slotting,300,search_results = self.db.engine.execute(search_query).fetchall(),sql-injection,yes,yes,yes,yes,unanimous
