file_key,placeholder_name,sink_line,vuln_type,verdict
ATheorell/AutoGPTArenaHack/autogpts~gpt-engineer~gpt_engineer~core~steps.py,"dbs.input[""prompt""]",204,command-injection,yes
ATheorell/AutoGPTArenaHack/autogpts~gpt-engineer~gpt_engineer~core~steps.py,"dbs.input[""prompt""]",471,command-injection,yes
ATheorell/AutoGPTArenaHack/autogpts~gpt-engineer~gpt_engineer~core~steps.py,dbs.logs[clarify.__name__],204,command-injection,yes
ATheorell/AutoGPTArenaHack/autogpts~gpt-engineer~gpt_engineer~core~steps.py,dbs.logs[clarify.__name__],471,command-injection,yes
ATheorell/AutoGPTArenaHack/autogpts~gpt-engineer~gpt_engineer~core~steps.py,"dbs.preprompts[""generate""].replace(""FILE_FORMAT"", dbs.preprompts[""file_format""])",204,command-injection,yes
ATheorell/AutoGPTArenaHack/autogpts~gpt-engineer~gpt_engineer~core~steps.py,"dbs.preprompts[""generate""].replace(""FILE_FORMAT"", dbs.preprompts[""file_format""])",471,command-injection,yes
ATheorell/AutoGPTArenaHack/autogpts~gpt-engineer~gpt_engineer~core~steps.py,"format_file_to_input(file_name, file_str)",204,command-injection,yes
ATheorell/AutoGPTArenaHack/autogpts~gpt-engineer~gpt_engineer~core~steps.py,"format_file_to_input(file_name, file_str)",471,command-injection,yes
ATheorell/AutoGPTArenaHack/autogpts~gpt-engineer~gpt_engineer~core~steps.py,setup_sys_prompt(dbs),204,command-injection,yes
ATheorell/AutoGPTArenaHack/autogpts~gpt-engineer~gpt_engineer~core~steps.py,setup_sys_prompt(dbs),471,command-injection,yes
ATheorell/AutoGPTArenaHack/autogpts~gpt-engineer~gpt_engineer~core~steps.py,setup_sys_prompt_existing_code(dbs),204,command-injection,yes
ATheorell/AutoGPTArenaHack/autogpts~gpt-engineer~gpt_engineer~core~steps.py,setup_sys_prompt_existing_code(dbs),471,command-injection,yes
Aurametrix/Alg/ML~oipenai.py,database.run(generated_sql),15,sql-injection,no
Aurametrix/Alg/ML~oipenai.py,generated_sql,15,sql-injection,no
BrettlyCD/text-to-sql/src~app~sql_functions.py,error_message,124,sql-injection,yes
BrettlyCD/text-to-sql/src~app~sql_functions.py,question,124,sql-injection,yes
BrettlyCD/text-to-sql/src~app~sql_functions.py,sql_dialect,124,sql-injection,no
BrettlyCD/text-to-sql/src~app~sql_functions.py,sql_query,124,sql-injection,yes
BrettlyCD/text-to-sql/src~app~sql_functions.py,table_info,124,sql-injection,yes
Dataherald/dataherald/dataherald~sql_generator~dataherald_sqlagent.py,AGENT_PREFIX,300,sql-injection,yes
Dataherald/dataherald/dataherald~sql_generator~dataherald_sqlagent.py,AGENT_PREFIX,307,sql-injection,yes
Dataherald/dataherald/dataherald~sql_generator~dataherald_sqlagent.py,FORMAT_INSTRUCTIONS,300,sql-injection,no
Dataherald/dataherald/dataherald~sql_generator~dataherald_sqlagent.py,FORMAT_INSTRUCTIONS,307,sql-injection,no
Dataherald/dataherald/dataherald~sql_generator~dataherald_sqlagent.py,PLAN_WITH_FEWSHOT_EXAMPLES_AND_INSTRUCTIONS,300,sql-injection,yes
Dataherald/dataherald/dataherald~sql_generator~dataherald_sqlagent.py,PLAN_WITH_FEWSHOT_EXAMPLES_AND_INSTRUCTIONS,307,sql-injection,yes
Dataherald/dataherald/dataherald~sql_generator~dataherald_sqlagent.py,SUFFIX_WITH_FEW_SHOT_SAMPLES,300,sql-injection,yes
